"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2013-Q2","T2-2013",278.648,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2013-Q4","T4-2013",281.153,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2013-Q3","T3-2013",283.478,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2014","2014",280.397,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2014-Q2","T2-2014",282.921,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2014-Q1","T1-2014",279.007,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2014-Q4","T4-2014",276.475,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2014-Q3","T3-2014",283.186,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2015","2015",282.997,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2015-Q1","T1-2015",279.884,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2015-Q2","T2-2015",281.305,,
